city_name,city_latitude,city_longitude
Campbell Corners, 42.805870, -85.232230
Campbells Corner, 42.799750, -83.133550
Campbells Corners, 44.313070, -84.145560
Canada Corners, 43.235300, -85.849210
Canada Creek Ranch, 45.171960, -84.208060
Canada Shores, 41.807830, -84.962460
Canadian Lakes, 43.579190, -85.301700
Canandaigua, 41.798660, -84.234390
Canby Corners, 45.636120, -84.915330
Candlewick Court Mobile Home Park, 42.980560, -84.190560
Canfield Beach, 45.460570, -84.221680
Cannonsburg, 43.053920, -85.469750
Canterbury Estates Mobile Home Park, 42.951390, -85.069440
Canton, 42.307450, -83.486870
Capac, 43.012530, -82.927990
Captain Kidd Island, 48.164600, -88.571460
Carbondale, 45.278310, -87.615940
Carland, 43.058080, -84.304700
Carleton, 42.059210, -83.390770
Carleton Mobile Home Park, 42.056940, -83.388890
Carlisle, 42.553090, -84.966380
Carlisle, 42.826420, -85.683360
Carlshend, 46.310780, -87.220980
Carlton, 42.726700, -85.251400
Carney, 45.586640, -87.557340
Caro, 43.490730, -83.398850
Caro Mobile Estates, 43.480830, -83.405560
Carp Lake, 45.697230, -84.750050
Carp Lake Landing, 46.830220, -89.716550
Carpenter Landing, 46.289710, -85.757900
Carr, 43.873620, -86.038400
Carriage Hills Mobile Home Park, 43.066670, -83.670000
Carriage Manor Mobile Home Park, 43.000560, -83.653610
Carrollton, 43.461690, -83.940560
Carrollton Bar, 43.459470, -83.917200
Carson City, 43.176980, -84.846390
Carsonville, 43.426970, -82.671320
Cascade, 46.446880, -87.485420
Cascade, 42.912250, -85.498080
Casco, 42.752530, -82.671580
Case Island, 42.841690, -83.719120
Caseville, 43.941130, -83.271350
Cash, 43.348360, -82.786320
Casnovia, 43.234740, -85.790600
Caspian, 46.064330, -88.632890
Cass City, 43.600850, -83.174670
Cass Island, 46.066960, -83.881400
Cassopolis, 41.911710, -86.010010
Castle Island, 47.922390, -88.820360
Castle Park, 42.748080, -86.206990
Cathro, 45.158900, -83.554430
Cecil, 45.746120, -84.828940
Cedar, 44.847780, -85.795640
Cedar Bank, 46.296890, -87.266810
Cedar Bluff, 42.485580, -86.246140
Cedar Creek, 42.520310, -85.327510
Cedar Haven, 44.176130, -83.562480
Cedar Island, 45.293350, -83.483040
Cedar Island, 46.089460, -83.766120
Cedar Island, 44.252780, -85.903680
Cedar Island, 42.591700, -83.380490
Cedar Lake, 43.406140, -84.975020
Cedar River, 45.411090, -87.354560
Cedar River Estates Mobile Home Park, 42.652780, -84.077220
Cedar Run, 44.762780, -85.813690
Cedar Springs, 43.223360, -85.551420
Cedar Springs Mobile Estates, 43.230560, -85.548330
Cedarfield Mobile Home Park, 43.218890, -85.579720
Cedarville, 45.998070, -84.363090
Celeron Island, 42.079770, -83.173260
Cement City, 42.070040, -84.330500
Cemetery Island, 48.095990, -88.570630
Centennial, 47.258260, -88.428730
Centennial Heights, 47.260480, -88.444560
Center Island, 48.141260, -88.491740
Center Line, 42.485040, -83.027700
Central, 47.407140, -88.200660
Central Lake, 45.070000, -85.264510
Centre Chateaux Mobile Home Park, 41.925830, -85.530830
Centreville, 41.923380, -85.528320
Century Park Mobile Home Park, 42.734720, -84.664440
Ceresco, 42.271990, -85.061370
Chaison, 45.876910, -87.064860
Chalet Estates, 45.392220, -84.855560
Chalkerville, 42.432260, -84.018560
Chamberlain, 42.065880, -85.742780
Champion, 46.513820, -87.963470
Champion Mine, 47.034650, -88.670960
Chandler, 45.869960, -87.155970
Channel Island, 47.975440, -88.808410
Channel Island, 43.665580, -83.826360
Channing, 46.141610, -88.094020
Chapin, 43.132250, -84.304700
Charing Cross, 42.571700, -83.221320
Charity Island, 44.031400, -83.435520
Charles, 46.014460, -84.692550
Charleston, 43.659180, -82.686040
Charlesworth, 42.450590, -84.689420
Charlevoix, 45.318060, -85.258400
Charlevoix Estates, 45.298610, -85.256110
Charlotte, 42.563650, -84.835820
Charlotte Landing, 42.392260, -84.775810
Chase, 43.889180, -85.635610
Chassell, 47.028260, -88.525120
Chassell Bay Cabins Mobile Home Park, 47.038610, -88.520280
Chateau Deerfield Manor Mobile Home Park, 42.982780, -85.897780
Chateau Estates Mobile Home Park, 42.597780, -83.938890
Chateau Ferrand Estates Mobile Home Park, 42.881940, -85.730830
Chateau of Grand Blanc Mobile Home Park, 42.910000, -83.644440
Chateau Old Orchard Mobile Home Park, 43.016670, -83.499440
Chateau Pines Lake Mobile Home Park, 43.077780, -83.305560
Chateau Timber Heights Mobile Home Park, 43.026940, -83.494440
Chatham, 46.347720, -86.929040
Chauncey, 43.050310, -85.550310
