"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-23","4.8",",,W",,,"0.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19.8","H,,S","21.7",",,W","12.2",",,W","  260",",,W","  270",",,W","10.3",",,W","13.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-24","3.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.2","H,,S","25.0",",,W","11.1",",,W","  240",",,W","  260",",,W","8.1",",,W","16.5",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-25","5.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19.2","H,,S","22.8",",,W","16.1",",,W","  220",",,W","  220",",,W","11.2",",,W","16.1",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-26","4.1",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.7","H,,S","20.6",",,W","8.3",",,W","  260",",,W","  250",",,W","9.8",",,W","14.8",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-27","4.8",",,W",,,"17.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","14.9","H,,S","22.2",",,W","10.0",",,W","  170",",,W","  180",",,W","13.4",",,W","18.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-28","3.0",",,W",,,"10.9",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.4","H,,S","18.9",",,W","10.6",",,W","   30",",,W","   20",",,W","6.7",",,W","9.8",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-29","3.8",",,W",,,"18.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","12.2","H,,S","14.4",",,W","9.4",",,W","   60",",,W","   70",",,W","7.6",",,W","10.7",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-30","3.5",",,W",,,"0.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.6","H,,S","27.8",",,W","13.9",",,W","  160",",,W","  150",",,W","6.3",",,W","8.5",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-01","3.8",",,W",,,"4.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","22.9","H,,S","26.1",",,W","20.0",",,W","  350",",,W","  340",",,W","9.8",",,W","13.0",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-02","4.5",",,W",,,"22.6",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.5","H,,S","20.6",",,W","10.6",",,W","   70",",,W","   70",",,W","7.6",",,W","11.2",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-03","4.0",",,W",,,"32.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","12.9","H,,S","18.3",",,W","10.0",",,W","  260",",,W","  260",",,W","11.2",",,W","15.2",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-04","3.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","10.4","H,,S","12.8",",,W","5.6",",,W","   30",",,W","   20",",,W","7.2",",,W","10.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-05","4.1",",,W",,,"0.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","9.9","H,,S","15.6",",,W","4.4",",,W","  160",",,W","  150",",,W","9.4",",,W","12.1",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-06","4.8",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","14.6","H,,S","18.9",",,W","12.2",",,W","  260",",,W","  260",",,W","9.8",",,W","13.4",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-07","3.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","14.3","H,,S","20.6",",,W","6.7",",,W","  260",",,W","  260",",,W","9.4",",,W","13.0",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-08","1.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","11.2","H,,S","20.0",",,W","3.3",",,W","  110",",,W","  160",",,W","4.5",",,W","6.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-09","2.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","12.9","H,,S","20.6",",,W","6.1",",,W","  100",",,W","  130",",,W","6.3",",,W","10.7",",,W"
